FID,the_geom,COUNTRY
police_station_wgs84.1,POINT (-77.50843336 17.960830379999923),JAMAICA
police_station_wgs84.2,POINT (-77.55066642 18.14345679000001),JAMAICA
police_station_wgs84.3,POINT (-76.79949293707293 18.00906331065947),JAMAICA
police_station_wgs84.4,POINT (-77.06310108 18.41759564999999),JAMAICA
police_station_wgs84.5,POINT (-77.02804805 18.416627879999925),JAMAICA
police_station_wgs84.6,POINT (-77.65741389 18.49675175000011),JAMAICA
police_station_wgs84.7,POINT (-77.80137191000001 18.51477234),JAMAICA
police_station_wgs84.8,POINT (-77.92568869 18.481308260000002),JAMAICA
police_station_wgs84.9,POINT (-77.92889016000001 18.458132300000003),JAMAICA
police_station_wgs84.10,POINT (-76.87791685 18.02303701000002),JAMAICA
police_station_wgs84.11,POINT (-76.92172721 17.997443119999964),JAMAICA
police_station_wgs84.12,POINT (-76.95061611000001 17.99172891999998),JAMAICA
police_station_wgs84.13,POINT (-76.84588004 18.053279420000006),JAMAICA
police_station_wgs84.14,POINT (-76.65740398 18.03052699000001),JAMAICA
police_station_wgs84.15,POINT (-76.72007203 18.033748409999987),JAMAICA
police_station_wgs84.16,POINT (-78.13340281 18.21842688000012),JAMAICA
police_station_wgs84.17,POINT (-78.34321635 18.279161730000013),JAMAICA
police_station_wgs84.18,POINT (-78.15046392 18.291799549999894),JAMAICA
police_station_wgs84.19,POINT (-77.2395397508624 17.965321961186007),JAMAICA
police_station_wgs84.20,POINT (-76.8939207637718 18.37356569361919),JAMAICA
police_station_wgs84.21,POINT (-76.77263701403346 18.2706250918729),JAMAICA
police_station_wgs84.22,POINT (-76.88179453419907 18.259706625251148),JAMAICA
police_station_wgs84.23,POINT (-76.84791613370422 18.260903799693974),JAMAICA
police_station_wgs84.24,POINT (-76.79846170078014 18.260137108092596),JAMAICA
police_station_wgs84.25,POINT (-76.82385167871652 18.17204047561909),JAMAICA
police_station_wgs84.26,POINT (-76.59193753352714 18.16558093804067),JAMAICA
police_station_wgs84.27,POINT (-76.56354562045713 18.202672460286113),JAMAICA
police_station_wgs84.28,POINT (-76.60499661672681 18.2200731086946),JAMAICA
police_station_wgs84.29,POINT (-76.8904499352379 18.14830788182971),JAMAICA
police_station_wgs84.30,POINT (-76.84628313093141 18.12720768701448),JAMAICA
police_station_wgs84.31,POINT (-76.71477825736144 18.111635820744553),JAMAICA
police_station_wgs84.32,POINT (-76.87593552419766 18.107027356147363),JAMAICA
police_station_wgs84.33,POINT (-76.7985618930228 18.082855979137772),JAMAICA
police_station_wgs84.34,POINT (-76.66045005635246 18.23238637893863),JAMAICA
police_station_wgs84.35,POINT (-77.09627745821312 17.90679209156775),JAMAICA
police_station_wgs84.36,POINT (-77.24142650080735 17.87578515598505),JAMAICA
police_station_wgs84.37,POINT (-76.7952362705971 18.04565312131491),JAMAICA
police_station_wgs84.38,POINT (-76.74137839262838 18.021037908132676),JAMAICA
police_station_wgs84.39,POINT (-76.82503966854048 17.997115203565308),JAMAICA
police_station_wgs84.40,POINT (-76.88193404648086 17.99308740514527),JAMAICA
police_station_wgs84.41,POINT (-76.78874686819071 17.99351395082107),JAMAICA
police_station_wgs84.42,POINT (-76.76872078278191 17.989021675371923),JAMAICA
police_station_wgs84.43,POINT (-76.58821062764092 17.994854418482344),JAMAICA
police_station_wgs84.44,POINT (-76.80279587046851 17.97820261674346),JAMAICA
police_station_wgs84.45,POINT (-76.79314327806667 17.98594902159325),JAMAICA
police_station_wgs84.46,POINT (-76.76732411543625 17.977771154115235),JAMAICA
police_station_wgs84.47,POINT (-76.60562856668467 17.961767199817285),JAMAICA
police_station_wgs84.48,POINT (-76.79657312090048 17.96503618012529),JAMAICA
police_station_wgs84.49,POINT (-76.78861961194568 17.97139007785102),JAMAICA
police_station_wgs84.50,POINT (-76.84286165958027 17.93926515623485),JAMAICA
police_station_wgs84.51,POINT (-76.77968387971445 17.93845491822385),JAMAICA
police_station_wgs84.52,POINT (-76.67026427242288 17.940722100309273),JAMAICA
police_station_wgs84.53,POINT (-76.86760404785093 17.983647793012732),JAMAICA
police_station_wgs84.54,POINT (-76.88019485728348 17.958131480022896),JAMAICA
police_station_wgs84.55,POINT (-76.56626699595223 17.87462498015286),JAMAICA
police_station_wgs84.56,POINT (-76.52156449945949 17.96015117646468),JAMAICA
police_station_wgs84.57,POINT (-76.45654353843446 17.93829529912757),JAMAICA
police_station_wgs84.58,POINT (-76.41094157755725 17.88133719195855),JAMAICA
police_station_wgs84.59,POINT (-76.32885472488334 17.88833507848468),JAMAICA
police_station_wgs84.60,POINT (-76.26947262925236 17.935595102587424),JAMAICA
police_station_wgs84.61,POINT (-76.34929264448921 17.947760212981457),JAMAICA
police_station_wgs84.62,POINT (-76.413120342391 18.049811802437308),JAMAICA
police_station_wgs84.63,POINT (-76.33812583169019 18.137580276761316),JAMAICA
police_station_wgs84.64,POINT (-76.40367443005451 18.17152494031302),JAMAICA
police_station_wgs84.65,POINT (-76.45162710470618 18.1786075267899),JAMAICA
police_station_wgs84.66,POINT (-77.06823974568647 18.037457694304898),JAMAICA
police_station_wgs84.67,POINT (-77.26647858217802 18.082947141816494),JAMAICA
police_station_wgs84.68,POINT (-76.9433746205504 18.09040790998687),JAMAICA
police_station_wgs84.69,POINT (-76.96430409816712 18.16642294669954),JAMAICA
